route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
P384-2624,P384,"The Gap - City Precincts Pre-Paid Rocket",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/P384,8DC63F,000000
P426-2624,P426,"Kenmore - City Pre-Paid Rocket via Chapel Hill",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/P426,8DC63F,000000
P443-2624,P443,"Moggil - City Pre-Paid Rocket",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/P443,8DC63F,000000
P455-2624,P455,"Riverhills - City Pre-Paid Rocket",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/P455,8DC63F,000000
P456-2624,P456,"Mt Ommaney - City Pre-Paid Rocket",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/P456,8DC63F,000000
P546-2579,P546,"Park Ridge - City via Greenbank & Griffith Uni",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/P546,8DC63F,000000
P569-2639,P569,"Brisbane City - Loganholme",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/P569,8DC63F,000000
P581-2639,P581,"Brisbane City - Slacks Creek",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/P581,8DC63F,000000
R309-2567,R309,"Doomben all stations - Bowen Hills/City",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/R309,8DC63F,000000
R348-2567,R348,"Shorncliffe - Northgate",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/R348,8DC63F,000000
R581-2458,R581,"City - Eastern Corridor (All Stations)",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/R581,8DC63F,000000
R588-2542,R588,"Park Road - Beenleigh via Altandi & Loganlea",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/R588,8DC63F,000000
R590-2542,R590,"Roma St all stations - Kuraby",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/R590,8DC63F,000000
R591-2458,R591,"City - Southern Corridor (All Stations)",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/R591,8DC63F,000000
R592-1943,R592,"Corinda - Redbank",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/R592,8DC63F,000000
R593-1943,R593,"Redbank - Ipswich",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/R593,8DC63F,000000
R594-1943,R594,"Rosewood - Corinda",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/R594,8DC63F,000000
R596-1943,R596,"Springfield Central - Corinda",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/R596,8DC63F,000000
R597-1943,R597,"Corinda - Ipswich",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/R597,8DC63F,000000
R598-1943,R598,"Ipswich - Rosewood",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/R598,8DC63F,000000
R599-2458,R599,"City - Western Corridor (All Stations)",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/R599,8DC63F,000000
R600-2567,R600,"Caboolture - Bowen Hills",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/R600,8DC63F,000000
R601-2567,R601,"Petrie - Bowen Hills",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/R601,8DC63F,000000
R603-2567,R603,"Northgate - Bowen Hills",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/R603,8DC63F,000000
R605-2567,R605,"Petrie - Northgate",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/R605,8DC63F,000000
R606-2567,R606,"Caboolture - Bowen Hills",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/R606,8DC63F,000000
R607-2567,R607,"Caboolture - Petrie",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/R607,8DC63F,000000
R608-2567,R608,"Kippa-Ring - Petrie",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/R608,8DC63F,000000
R609-2567,R609,"Nambour - Caboolture",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/R609,8DC63F,000000
R612-2567,R612,"Gympie North - Bowen Hills",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/R612,8DC63F,000000
R613-2567,R613,"Bowen Hills - Gympie North",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/R613,8DC63F,000000
R614-2567,R614,"Bowen Hills - Caboolture",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/R614,8DC63F,000000
R615-2567,R615,"Bowen Hills - Caboolture",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/R615,8DC63F,000000
R616-2567,R616,"Nambour, Landsborough, Bowen Hills",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/R616,8DC63F,000000
R700-2567,R700,"Airport Express - Roma St",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/R700,8DC63F,000000
R701-2567,R701,"Airport - Bowen Hills",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/R701,8DC63F,000000
RPBR-2512,RPBR,"Redcliffe Peninsula Line - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/redcliffe-peninsula-line,1578BE,FFFFFF
RPBR-2519,RPBR,"Redcliffe Peninsula Line - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/redcliffe-peninsula-line,1578BE,FFFFFF
RPBR-2520,RPBR,"Redcliffe Peninsula Line - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/redcliffe-peninsula-line,1578BE,FFFFFF
